Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
SOLUSDT,"SMA_Crossover(20,100)",1d,4,50.00,2.03,1.96,5.15,2.23,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
LINKUSDT,"SMA_Crossover(20,50)",1d,6,50.00,1.62,2.28,3.35,1.60,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
DOTUSDT,"SMA_Crossover(20,100)",1d,6,33.33,1.48,4.19,2.50,1.38,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
UNIUSDT,"SMA_Crossover(50,200)",1d,2,50.00,1.34,1.86,4.03,2.09,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
UNIUSDT,"SMA_Crossover(20,100)",1d,2,50.00,1.32,2.41,4.24,2.16,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
BTCUSDT,"SMA_Crossover(50,200)",1d,1,100.00,1.28,0.08,0.00,100.00,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
DOGEUSDT,"SMA_Crossover(50,200)",1d,2,50.00,1.20,1.07,4.10,2.13,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
BTCUSDT,"SMA_Crossover(5,20)",1d,14,35.71,1.07,3.42,1.61,1.25,400,2024-12-26,2026-01-31,"{""long_period"":20,""short_period"":5}"
BNBUSDT,Confluence_Conservative,1d,12,41.67,0.91,2.06,1.61,1.25,400,2024-12-26,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
XRPUSDT,"RSI_Strategy(14,70,30)",1d,4,50.00,0.88,1.96,2.13,1.35,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
BNBUSDT,"RSI_Strategy(14,75,25)",1d,6,33.33,0.87,3.02,2.16,1.39,400,2024-12-26,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
DOGEUSDT,"RSI_Strategy(21,70,30)",1d,2,50.00,0.77,3.44,2.78,1.62,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
DOGEUSDT,"RSI_Strategy(14,75,25)",1d,2,50.00,0.77,3.44,2.78,1.62,400,2024-12-26,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
BTCUSDT,"SMA_Crossover(20,50)",1d,7,42.86,0.77,1.58,2.35,1.39,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
XRPUSDT,"RSI_Strategy(14,75,25)",1d,2,50.00,0.72,1.71,2.69,1.61,400,2024-12-26,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
